filename,cell_type,xmin,xmax,ymin,ymax
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1097,1154,666,704
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1156,1222,728,766
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1118,1156,813,847
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1056,1088,853,883
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1035,1067,811,840
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1078,1129,991,1023
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1156,1186,949,974
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,937,971,743,766
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,982,1027,760,791
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,829,863,617,645
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1480,1522,326,372
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1365,1410,702,738
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1739,1773,772,811
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1844,1873,696,738
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1933,1971,445,491
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1461,1524,987,1045
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1463,1503,615,657
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1733,1767,366,394
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1378,1401,851,866
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1414,1433,894,917
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1654,1712,370,394
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1605,1646,321,362
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1499,1527,406,438
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1533,1569,460,481
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1580,1599,428,447
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1610,1633,436,457
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1661,1682,430,460
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1537,1573,340,379
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1620,1641,391,421
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1554,1582,381,415
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1850,1882,468,521
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1884,1920,438,491
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1758,1827,428,481
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1799,1833,509,534
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1722,1756,504,532
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1799,1854,557,596
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1835,1884,649,683
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1805,1833,709,740
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1744,1807,655,702
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1512,1561,509,540
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1433,1461,709,745
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1384,1414,760,787
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1444,1488,936,974
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1458,1507,562,604
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1537,1571,636,696
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1737,1765,823,853
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1712,1735,943,968
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1739,1761,904,921
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1486,1518,719,740
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1599,1616,509,528
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1578,1603,762,785
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1695,1722,743,764
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1669,1701,540,564
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1618,1671,615,647
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1537,1565,566,587
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1688,1714,677,736
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1750,1775,581,626
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1693,1724,572,609
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1646,1682,472,494
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1590,1612,691,723
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1586,1620,802,823
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1624,1656,815,885
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1656,1686,928,970
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1663,1680,757,785
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1495,1531,747,781
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1569,1590,838,868
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1486,1514,823,868
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1533,1571,889,919
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1571,1605,934,974
/home/ec2-user/SageMaker/onfarm/img_train/59.jpg,azul_claro,1456,1486,879,917
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,1010,1082,106,177
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,1005,1061,183,247
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,1003,1065,249,309
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,952,1061,311,379
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,914,1050,381,502
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,914,1073,517,596
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,982,1063,591,643
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,875,1037,643,715
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,1039,1069,689,721
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,1027,1065,747,781
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,875,1024,723,779
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,990,1061,791,894
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,963,1012,894,960
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,890,971,796,872
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,644,737,528,583
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,552,684,402,468
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,820,903,226,540
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,790,839,583,760
/home/ec2-user/SageMaker/onfarm/img_train/100.jpg,azul_claro,720,805,283,500
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1189,1235,1076,1127
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1227,1283,546,622
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1237,1254,479,522
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1124,1186,1044,1106
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1143,1191,1000,1038
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1200,1235,963,992
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1140,1183,933,979
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1208,1256,903,946
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1164,1205,863,890
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1081,1127,919,960
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1018,1067,919,963
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1010,1045,871,906
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1081,1127,857,900
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,989,1051,830,873
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1194,1235,809,852
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1213,1259,657,711
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1227,1272,736,787
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1167,1205,730,779
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1175,1202,657,711
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1181,1205,595,644
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1162,1205,546,587
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1118,1159,611,652
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1113,1148,673,700
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1105,1151,719,768
/home/ec2-user/SageMaker/onfarm/img_train/22.jpg,azul_claro,1097,1154,779,806
